Description,OutputCol,Required,INPUT
Service Identifier,RO_ID,Mandatory,INPUT
Date Service Opened,RO_Open_Date,Used,INPUT
,RO_Closed_Date,Mandatory,INPUT
Whether an RO is to be counted,RO Type,Used,INPUT
,Department_Name,Used,INPUT
,RO_Gross_Profit,Used,INPUT
,Customer_ID,Used,INPUT
"Person, Business, Fleet, Internal",Customer_Type,Used,INPUT
,Customer_Name,Used,INPUT
,Customer_FirstName,Used,INPUT
,Customer_LastName,Used,INPUT
,Customer_Gender,Used,INPUT
,Customer_Birthday,Used,INPUT
,Customer_Address_1,Used,INPUT
,Customer_Address_2,Used,INPUT
,Customer_Home_Phone_Number,Used,INPUT
,Customer_Work_Phone_Number,Used,INPUT
,Customer_Cell_Phone_Number,Used,INPUT
,Customer_Personal_Email_Address,Used,INPUT
,Customer_Work_Email_Address,Used,INPUT
,Email_Opt_In_Status,Used,INPUT
,Mail_Opt_In_Status,Used,INPUT
,Phone_Opt_In_Status,Used,INPUT
,Customer_ZIP_or_Postcode,Used,INPUT
Vehicle VIN Number,Vehicle_VIN,Used,INPUT
,Stock_Number,Used,INPUT
,Vehicle_Make,Used,INPUT
,Vehicle_Model,Used,INPUT
,Vehicle_Year,Used,INPUT
,Mileage_In,Used,INPUT
,Mileage_Out,Used,INPUT
Warranty (ESC) name or service plan/contract name,Warranty_ESC_Plan_Name,Used,INPUT
,Service_Advisor,Used,INPUT
,Service_Advisor_ID,Used,INPUT
,Labor_Customer_Cost,Used,INPUT
,Labor_Customer_Gross,Used,INPUT
,Labor_Customer_Sale,Used,INPUT
,Parts_Customer_Cost,Used,INPUT
,Parts_Customer_Gross,Used,INPUT
,Parts_Customer_Sale,Used,INPUT
,Sublet_Customer_Cost,Used,INPUT
,Sublet_Customer_Gross,Used,INPUT
,Sublet_Customer_Sale,Used,INPUT
,Misc_Customer_Cost,Used,INPUT
,Misc_Customer_Gross,Used,INPUT
,Misc_Customer_Sale,Used,INPUT
,Labor_Internal_Cost,Used,INPUT
,Labor_Internal_Gross,Used,INPUT
,Labor_Internal_Sale,Used,INPUT
,Parts_Internal_Cost,Used,INPUT
,Parts_Internal_Gross,Used,INPUT
,Parts_Internal_Sale,Used,INPUT
,Sublet_Internal_Cost,Used,INPUT
,Sublet_Internal_Gross,Used,INPUT
,Sublet_Internal_Sale,Used,INPUT
,Misc_Internal_Cost,Used,INPUT
,Misc_Internal_Gross,Used,INPUT
,Misc_Internal_Sale,Used,INPUT
,Labor_Warranty_Cost,Used,INPUT
,Labor_Warranty_Gross,Used,INPUT
,Labor_Warranty_Sale,Used,INPUT
,Parts_Warranty_Cost,Used,INPUT
,Parts_Warranty_Gross,Used,INPUT
,Parts_Warranty_Sale,Used,INPUT
,Sublet_Warranty_Cost,Used,INPUT
,Sublet_Warranty_Gross,Used,INPUT
,Sublet_Warranty_Sale,Used,INPUT
,Misc_Warranty_Cost,Used,INPUT
,Misc_Warranty_Gross,Used,INPUT
,Misc_Warranty_Sale,Used,INPUT
,Labor_Service_Contract_Cost,Used,INPUT
,Labor_Service_Contract_Gross,Used,INPUT
,Labor_Service_Contract_Sale,Used,INPUT
,Parts_Service_Contract_Cost,Used,INPUT
,Parts_Service_Contract_Gross,Used,INPUT
,Parts_Service_Contract_Sale,Used,INPUT
,Sublet_Service_Contract_Cost,Used,INPUT
,Sublet_Service_Contract_Gross,Used,INPUT
,Sublet_Service_Contract_Sale,Used,INPUT
,Misc_Service_Contract_Cost,Used,INPUT
,Misc_Service_Contract_Gross,Used,INPUT
,Misc_Service_Contract_Sale,Used,INPUT
